评论者昵称,评论内容,cleaned_content,segmented_content,情感分析结果,解析
戈雾桉关,河南人非常喜欢,河南人非常喜欢,河南人 喜欢,1,该评论直接表达了“河南人非常喜欢”的明确态度，其中“非常喜欢”是强烈的积极情感词汇，表明了对特定对象的高度认可和赞赏，整体情感倾向清晰为正面。
阿涵,河南人狂喜,河南人狂喜,河南人 狂喜,1,评论中“狂喜”一词表达了强烈的喜悦和兴奋情绪，结合地域指向“河南人”，整体传递出对特定事件或内容的积极反应和自豪感，情感倾向明显为正面。
momo423,这下ip正确了,这下ip正确了,这下 ip 正确,1,该评论使用“正确了”这一肯定性表达，暗示对IP选择或联动内容的认可与满意，带有积极评价的意味，整体情感倾向为正面。
蛋花汤呀,这次制作宫灯小游戏真的设计好美！想收藏的那种，要是有实物春节挂在家门口肯定超美！！,这次制作宫灯小游戏真的设计好美 想收藏的那种 要是有实物春节挂在家门口肯定超美,这次 制作 宫灯 小游戏 设计 好美 收藏 那种 实物 春节 家门口 肯定 超美,1,评论中使用了“设计好美”、“想收藏”、“超美”等积极词汇，表达了对宫灯小游戏设计的强烈喜爱和赞赏，并延伸出对实物化的美好期待，整体情感倾向明显为正面。
徐徐不知,特别喜欢！,特别喜欢,特别 喜欢,1,该评论使用了“特别喜欢”这一明确表达强烈喜好的词汇，直接传递了积极、赞赏的情感，没有任何负面或中性的修饰，整体情感倾向非常明确为正面。
用户已注销,河南人狂喜,河南人狂喜,河南人 狂喜,1,评论中“狂喜”一词表达了强烈的高兴和兴奋情绪，结合“河南人”这一地域身份，整体传递出对相关事件或内容的积极认同与自豪感，情感倾向明显为正面。
momo,终于有一次家门口联动,终于有一次家门口联动,终于 一次 家门口 联动,1,评论中“终于”表达了期待已久的满足感，“家门口联动”则体现了便利性和亲切感，整体传递出对联动活动的欣喜和积极态度，情感倾向为正面。
困困兔汪,多联动传统文化,多联动传统文化,联动 传统 文化,1,该评论明确表达了“多联动传统文化”的期望，使用了“多”这一积极倡导性词汇，体现了对联动内容方向的肯定和支持，整体情感倾向为正面。
QuANDo,为什么吃我蓝票,为什么吃我蓝票,蓝票,-1,该评论表达了玩家对游戏机制或事件的不满，使用“为什么吃我蓝票”这样的质问句式，暗示了资源被消耗或损失带来的负面情绪，整体情感倾向为负面。
moriipine,这次活动的灯笼素材都特别好看呀,这次活动的灯笼素材都特别好看呀,这次 活动 灯笼 素材 特别 好看,1,评论中使用了“特别好看”等积极词汇，直接表达了对活动灯笼素材的赞赏和喜爱，整体情感倾向明显为正面。
QuANDo,为什么吃我蓝票,为什么吃我蓝票,蓝票,-1,该评论使用了“为什么吃我蓝票”的质问语气，表达了对资源被消耗的不满和抱怨，带有明显的负面情绪。
momo,到家了,到家了,到家,0,该评论仅陈述“到家了”这一事实，没有表达任何积极或消极的情绪，属于客观描述，因此情感倾向为中性。
您好,新年快乐,新年快乐,新年快乐,1,该评论使用了“新年快乐”这一传统祝福语，表达了对节日的庆祝和对他人的美好祝愿，整体情感倾向为正面。
勒马听风,我家！,我家,我家,0,该评论仅提及“我家”，没有表达明确的情感色彩或评价性内容，属于陈述性表达，因此情感倾向为中性。
荔枝枝枝枝.,新年快乐！！！！！非遗还是要夸的，你加油好好干吧。,新年快乐 非遗还是要夸的 你加油好好干吧,新年快乐 非遗 加油 好好,1,评论中“新年快乐”表达祝福，“非遗还是要夸的”明确肯定非遗内容，“你加油好好干吧”带有鼓励和支持的语气，整体情感积极正面。
圣诞星,我要线下,我要线下,我要 线下,1,"该评论表达了强烈的参与意愿和期待感，""我要线下""直接传达了积极的态度和行动倾向，整体情感倾向为正面。"
狐与🍎皆得,夏以昼新年快乐!,夏以昼新年快乐,夏以昼 新年快乐,1,评论直接表达了对“夏以昼”的新年祝福，使用“新年快乐”这一积极、友好的问候语，传递了善意和喜悦的情感，整体情感倾向为正面。
青衣非衣,大家新年快乐！！！,大家新年快乐,大家 新年快乐,1,该评论表达了对新年的祝福，使用“新年快乐”这一积极词汇传递了喜悦和美好的祝愿，整体情感倾向为正面。
沫,各位夫人们新年快乐,各位夫人们新年快乐,夫人 新年快乐,1,该评论使用了“新年快乐”这一祝福语，表达了对受众的友好祝愿和积极情感，整体氛围温暖亲切，属于正面情感倾向。
忆梦,噢耶到我家了,噢耶到我家了,耶到 我家,1,评论中使用了“噢耶”这一表达兴奋和喜悦的感叹词，结合“到我家了”这一积极表述，整体传达出一种开心、期待或满足的情绪，情感倾向明显为正面。
红腻而多香,洛阳！！！！！耶耶耶！！！！,洛阳 耶,洛阳,1,评论中“耶”是表达兴奋或喜悦的语气词，结合“洛阳”这一具体地点，整体传递出对洛阳的积极情绪或期待，情感倾向明确为正面。
Ryan,Happy Chinese New Year ！！！春节快乐,happy chinese new year 春节快乐,happy chinese new year 春节快乐,1,"该评论同时使用英文和中文表达新年祝福，""happy""和""快乐""都是明确的积极词汇，传递出喜庆、友好的节日问候，整体情感倾向为正面。"
哼哼唧唧小菜狗的主人,我是大学生，给我1个祁煜的宫灯,我是大学生 给我个祁煜的宫灯,大学生 我个 祁煜 宫灯,0,该评论以陈述口吻表达个人身份和物品需求，未使用明显的情感词汇，既无赞赏也无批评，仅表达一种请求或期待，整体情感倾向为中性。
小红薯643B657B,彻彻新年快乐,彻彻新年快乐,彻彻 新年快乐,1,该评论使用了“新年快乐”这一传统祝福语，表达了对特定对象“彻彻”的节日问候和美好祝愿，整体情感积极、友好，属于正面情感倾向。
路人甲🐟,头一次ip正确,头一次ip正确,一次 ip 正确,1,评论中“头一次ip正确”表达了用户对内容或事件符合预期的满意和认可，使用“正确”这一积极词汇暗示了之前的不足得到改善，整体情感倾向为正面。
魚饼.,除夕快乐哇阿空！！！,除夕快乐哇阿空,除夕 快乐 阿空,1,评论以“除夕快乐”表达节日祝福，语气亲切友好，使用“哇”和“阿空”等词传递出热情和亲近感，整体情感积极温暖。
鱼鱼又,链接呢,链接呢,链接,0,该评论仅询问“链接呢”，属于客观的信息询问，没有表达明显的情感倾向或评价性内容，因此判断为中性。
venvy,好浪漫的联动！,好浪漫的联动,浪漫 联动,1,评论中使用了“好浪漫”这一积极词汇，直接表达了对联动内容的喜爱和赞美，整体情感倾向明显为正面。
此乃知言大人,啊星星糖今天刚吃,啊星星糖今天刚吃,星星 今天,0,该评论仅陈述了“今天刚吃星星糖”这一事实，没有表达明显的喜爱、厌恶或其他情感倾向，属于中性陈述。
入冬不穿大裤衩,多来点这种！！！！！喜欢！！！,多来点这种 喜欢,多来点 喜欢,1,评论中使用了“多来点”、“喜欢”等积极词汇，表达了对内容的喜爱和更多类似内容的期待，整体情感倾向明显为正面。
阿妹,看到他平平安安就会幸福到落泪的那种。。,看到他平平安安就会幸福到落泪的那种,看到 平平安安 幸福 落泪 那种,1,评论中使用了“平平安安”、“幸福到落泪”等强烈积极的词汇，表达了对他人平安的深切关怀和由此产生的幸福感，整体情感充满温暖与喜悦。
淇淇我推,哇！我的城市，这个联动,哇 我的城市 这个联动,城市 联动,1,评论中使用了“哇”这样的感叹词表达惊喜，并强调“我的城市”显示出归属感和自豪感，整体语气积极，表达了对联动活动的期待与喜爱。
さい,都去过你懂我的兴奋感嘛！！！,都去过你懂我的兴奋感嘛,去过 兴奋 感嘛,1,评论中“你懂我的兴奋感嘛”表达了强烈的激动和喜悦情绪，使用“兴奋感”这一积极词汇，并带有寻求共鸣的期待语气，整体传递出积极正面的情感倾向。
💗 小狸花💗,我的天啊！！好感動快哭了,我的天啊 好感動快哭了,好感 動快,1,评论中使用了“我的天啊”表示强烈感叹，“好感動快哭了”直接表达了被感动到几乎落泪的强烈情感，整体充满积极情绪，明显为正面评价。
一口吃不下野鸽,洛阳,洛阳,洛阳,0,该评论仅包含地名“洛阳”，没有表达任何情感色彩或主观评价，属于纯粹的事实陈述，因此情感倾向为中性。
意扣r-one,IP正确,ip正确,ip 正确,1,评论“ip正确”是网络用语，表示对内容或主题的定位准确、符合预期的肯定。这种简洁的表达通常带有赞同和满意的意味，整体情感倾向为正面。
眠月是个小仙女,霍！！！！这个联动棒！！！,霍 这个联动棒,联动,1,评论中使用了“棒”这一积极评价词汇，直接表达了对联动内容的赞赏和喜爱，整体情感倾向明显为正面。
顺遂,这个不错，这个不错，很喜欢那个做宫灯,这个不错 这个不错 很喜欢那个做宫灯,不错 不错 喜欢 宫灯,1,评论中重复使用“不错”表达肯定，并用“很喜欢”直接表达对宫灯元素的喜爱，整体语言积极明确，体现了对内容的赞赏和满意。
星星我是自愿的,巧了 恰巧要去洛阳,巧了 恰巧要去洛阳,恰巧 洛阳,0,该评论仅陈述了“恰巧要去洛阳”这一事实，没有表达对任何事物的喜爱、批评或期待，属于客观陈述，无明显情感倾向。
sea-lavender,啊啊啊啊去过！,啊去过,去过,0,该评论仅陈述了“去过”这一事实，没有表达明显的积极或消极情绪，缺乏情感色彩，因此判断为中性。
busy.🍎,第一，联动的很好！第二，可不可以不用那么多私设,第一 联动的很好 第二 可不可以不用那么多私设,第一 联动 可不可以 不用 私设,0,"该评论前半部分肯定联动效果，使用了""很好""的积极评价，但后半部分提出改进建议，使用""可不可以""表达委婉诉求。整体既有肯定又有建议，无明显情绪偏向，属于中性评论。"
Wayne,洛阳人是真爽了,洛阳人是真爽了,洛阳人 真爽,1,该评论使用“真爽了”这一积极表达，传递出对洛阳人能够享受某种便利或好处的羡慕与肯定，整体情感倾向明显为正面。
贝贝,给秦彻补卡！！！,给秦彻补卡,秦彻 补卡,0,该评论仅表达了“给秦彻补卡”这一行为意图，未使用明显的情感词汇，也未表达对内容的评价或情绪倾向，属于陈述性表达，因此情感倾向为中性。
💚茉茉,蝴蝶纹和同心结哎,蝴蝶纹和同心结哎,蝴蝶 同心结,1,评论中提到的“蝴蝶纹”和“同心结”都是具有美好寓意的传统元素，表达了对这些设计细节的欣赏和喜爱，整体情感倾向为正面。
